adsfS0-PP10_R1.fastq	yanzeli-0001_Experiment_0007	fastq	6a4c88f9be57b9ec2da09cb24d778efa
Run	S0-PP10_R2.fastq	yanzeli-0001_Experiment_0007	fastq	90be6e462a99335d690ad31fa3da6620
Run	S0-PP12_R1.fastq	yanzeli-0001_Experiment_0008	fastq	0e016419ec77ec05a7041ad8fed13b3d
Run	S0-PP12_R2.fastq	yanzeli-0001_Experiment_0008	fastq	95a409ecc0b5a19af4be97e86330ea95
Run	S0-PP13_R1.fastq	yanzeli-0001_Experiment_0009	fastq	9bf31f72330103100d20bf0de712d2ec
Run	S0-PP13_R2.fastq	yanzeli-0001_Experiment_0009	fastq	09942c22d7162d2a8cbd1062a90d3e9a
Run	S0-PP14_R1.fastq	yanzeli-0001_Experiment_0010	fastq	ff1740a78fd24cd100afe7be977453f2
Run	S0-PP14_R2.fastq	yanzeli-0001_Experiment_0010	fastq	ac0d8230195783a402993b8e8f1b06fb
Run	S0-PP15_R1.fastq	yanzeli-0001_Experiment_0011	fastq	3d2e014fdc824e427392b15b6f452fd5
Run	S0-PP15_R2.fastq	yanzeli-0001_Experiment_0011	fastq	a75a73044bd306376cf82c50e11b1c28
Run	S0-PP16c26_R1.fastq	yanzeli-0001_Experiment_0013	fastq	957330c75fbe2ff1ff12c94d13ab4cd1
Run	S0-PP16c26_R2.fastq	yanzeli-0001_Experiment_0013	fastq	06e425a76dcddcfa60e1f398d26d3d6d
Run	S0-PP16c38_R1.fastq	yanzeli-0001_Experiment_0014	fastq	e350deaa64dc86ba69e85ebae15d473f
Run	S0-PP16c38_R2.fastq	yanzeli-0001_Experiment_0014	fastq	83471adfb2e8ac6aef453050ea9e6a18
Run	S0-PP16_R1.fastq	yanzeli-0001_Experiment_0012	fastq	6d62e1fe078d1b425825ffefed149727
Run	S0-PP16_R2.fastq	yanzeli-0001_Experiment_0012	fastq	1c806cc04e4511873c7f71db7f85f84f
Run	S0-PP17_R1.fastq	yanzeli-0001_Experiment_0015	fastq	c753bb644007955ad41859a0875dc635
Run	S0-PP17_R2.fastq	yanzeli-0001_Experiment_0015	fastq	c1090dd6a796af667956e8a8fe2b2b44
Run	S0-PP18_R1.fastq	yanzeli-0001_Experiment_0016	fastq	489ebc2e9409d3b24c51b58e4d168960
Run	S0-PP18_R2.fastq	yanzeli-0001_Experiment_0016	fastq	58745353449848b96a057c3a283f6c4d
Run	S0-PP19_R1.fastq	yanzeli-0001_Experiment_0017	fastq	e7251c1afacd5e321218db8bf990382f
Run	S0-PP19_R2.fastq	yanzeli-0001_Experiment_0017	fastq	bee18e421eab2af5382e82319cd15aa8
Run	S0-PP1_R1.fastq	yanzeli-0001_Experiment_0001	fastq	da8d10191b46019431665f2ac5cef333
Run	S0-PP1_R2.fastq	yanzeli-0001_Experiment_0001	fastq	8262db7682a099433e3df48a5f5e8daa
Run	S0-PP20_R1.fastq	yanzeli-0001_Experiment_0018	fastq	5cb901facd222dece87e8945ae372273
Run	S0-PP20_R2.fastq	yanzeli-0001_Experiment_0018	fastq	90328e94efeb1be852a4b4fbc3cfcd61
Run	S0-PP23_R1.fastq	yanzeli-0001_Experiment_0019	fastq	aecbc9abfdd941cca797194338385315
Run	S0-PP23_R2.fastq	yanzeli-0001_Experiment_0019	fastq	668c1d0722c6d4cf823da3f20f27cf05
Run	S0-PP24_R1.fastq	yanzeli-0001_Experiment_0020	fastq	78f3204c8c030a5f018a0682318f9eae
Run	S0-PP24_R2.fastq	yanzeli-0001_Experiment_0020	fastq	8942f2cb760a560c23424f6ad6f375a5
Run	S0-PP25_R1.fastq	yanzeli-0001_Experiment_0021	fastq	8290492d1ca9609d3fb118eba9027ad4
Run	S0-PP25_R2.fastq	yanzeli-0001_Experiment_0021	fastq	a024b6c2354342013ac08624dbab8b4f
Run	S0-PP26_R1.fastq	yanzeli-0001_Experiment_0022	fastq	3e753991b7349acdaf158a4b4687b83b
Run	S0-PP26_R2.fastq	yanzeli-0001_Experiment_0022	fastq	a9ae02b2a1ad6f747497c528752bb3fe
Run	S0-PP27_R1.fastq	yanzeli-0001_Experiment_0023	fastq	b159e3f1129d99a672d7d22d4f45fc73
Run	S0-PP27_R2.fastq	yanzeli-0001_Experiment_0023	fastq	521f256a529e3a9a88fedb7758505e7a
Run	S0-PP29_R1.fastq	yanzeli-0001_Experiment_0024	fastq	19c3776e2ce23151f4f6b83441cb8875
Run	S0-PP29_R2.fastq	yanzeli-0001_Experiment_0024	fastq	12db22a6f804b52abd58d33cd16462bd
Run	S0-PP2_R1.fastq	yanzeli-0001_Experiment_0002	fastq	8ad5ed2d8cb69329c95708572a49efb2
Run	S0-PP2_R2.fastq	yanzeli-0001_Experiment_0002	fastq	b4f65a65de1e0fe1a24e4e658ae4e8fa
Run	S0-PP31_R1.fastq	yanzeli-0001_Experiment_0025	fastq	b1e38b30283ef2f23d3da639847fdebb
Run	S0-PP31_R2.fastq	yanzeli-0001_Experiment_0025	fastq	3a6f5fc94de0ede45cdcb044eb34dbb1
Run	S0-PP33_R1.fastq	yanzeli-0001_Experiment_0026	fastq	52cd690275060db73375e1bc5b6f4eff
Run	S0-PP33_R2.fastq	yanzeli-0001_Experiment_0026	fastq	68531d340ee0dd33290e34e455be2f60
Run	S0-PP34_R1.fastq	yanzeli-0001_Experiment_0027	fastq	53f609f5b85572b926bb910c4be0d3bb
Run	S0-PP34_R2.fastq	yanzeli-0001_Experiment_0027	fastq	36a185758dabcbe8c1cecba62716c6f1
Run	S0-PP35_R1.fastq	yanzeli-0001_Experiment_0028	fastq	effeb5058bc8d99c8bc9d09416f9b6c9
Run	S0-PP35_R2.fastq	yanzeli-0001_Experiment_0028	fastq	c3240a529e24ea4a97ca436ebd397909
Run	S0-PP37_R1.fastq	yanzeli-0001_Experiment_0029	fastq	5f650df408bfbbd35bcad72d93fa2927
Run	S0-PP37_R2.fastq	yanzeli-0001_Experiment_0029	fastq	83ac6592b8796eeca251aae3cb12c6b0
Run	S0-PP38_R1.fastq	yanzeli-0001_Experiment_0030	fastq	83b94ce5dd71addb5ecfef804ba3626a
Run	S0-PP38_R2.fastq	yanzeli-0001_Experiment_0030	fastq	73b9edaaaca8bc92c9c780e53a805a40
Run	S0-PP40_R1.fastq	yanzeli-0001_Experiment_0031	fastq	c7274de40b843d37fab05ecd5cf0896c
Run	S0-PP40_R2.fastq	yanzeli-0001_Experiment_0031	fastq	47cb090a011445f11fa36b61bca5cada
Run	S0-PP41_R1.fastq	yanzeli-0001_Experiment_0032	fastq	aa1e71ec7c407f691c489adea04903df
Run	S0-PP41_R2.fastq	yanzeli-0001_Experiment_0032	fastq	33a7baaf91dcbe03b3ec522e40bd3e30
Run	S0-PP44_R1.fastq	yanzeli-0001_Experiment_0033	fastq	1df7611b1b2dc50ecdf05ea7fd8dda41
Run	S0-PP44_R2.fastq	yanzeli-0001_Experiment_0033	fastq	2ac8820d70dcf9e9ae3992f673de5b52
Run	S0-PP45c26_R1.fastq	yanzeli-0001_Experiment_0035	fastq	e83eebd4d30b9da83eb89d15b1d60337
Run	S0-PP45c26_R2.fastq	yanzeli-0001_Experiment_0035	fastq	d88efeff705b2fa73ba0743fe0fe76d0
Run	S0-PP45c38_R1.fastq	yanzeli-0001_Experiment_0036	fastq	d94db52019602c06fd6635c35df69f5d
Run	S0-PP45c38_R2.fastq	yanzeli-0001_Experiment_0036	fastq	c6409519d2836960aa8e2e96305e02d1
Run	S0-PP45_R1.fastq	yanzeli-0001_Experiment_0034	fastq	977b02824146a99363dae04fdf480b90
Run	S0-PP45_R2.fastq	yanzeli-0001_Experiment_0034	fastq	71d17389480888a8141c3c2e95a4a5b0
Run	S0-PP46_R1.fastq	yanzeli-0001_Experiment_0037	fastq	4fcf704c9cc8276c69900579b7a6ebb9
Run	S0-PP46_R2.fastq	yanzeli-0001_Experiment_0037	fastq	1c90d69f1a08250f68e768b97837454d
Run	S0-PP48_R1.fastq	yanzeli-0001_Experiment_0038	fastq	320c1eb38c3d2336c3363609d3ff9055
Run	S0-PP48_R2.fastq	yanzeli-0001_Experiment_0038	fastq	ff5464f6e4f39e26b7d387fae1077ae5
Run	S0-PP4_R1.fastq	yanzeli-0001_Experiment_0003	fastq	2b7c820260f367f08b85acdbdfd6c653
Run	S0-PP4_R2.fastq	yanzeli-0001_Experiment_0003	fastq	daa2e45dde99e7660dfdf6d176429490
Run	S0-PP50_R1.fastq	yanzeli-0001_Experiment_0039	fastq	cc1dadfb2d497b91075b3f0eee842c45
Run	S0-PP50_R2.fastq	yanzeli-0001_Experiment_0039	fastq	86f50e636ec55f51257c121ba13a632b
Run	S0-PP51_R1.fastq	yanzeli-0001_Experiment_0040	fastq	415de4010b62cd0f85356f90f43a37fa
Run	S0-PP51_R2.fastq	yanzeli-0001_Experiment_0040	fastq	80e7f4170930b4d388136a12c2cdcb41
Run	S0-PP52_R1.fastq	yanzeli-0001_Experiment_0041	fastq	87d7bc7ab61ff0dc99cd9c7087e2068c
Run	S0-PP52_R2.fastq	yanzeli-0001_Experiment_0041	fastq	efdb3291ac59111c25c19c63aef719d8
Run	S0-PP53_R1.fastq	yanzeli-0001_Experiment_0042	fastq	17a51f47b858a769612752fa6623e89f
Run	S0-PP53_R2.fastq	yanzeli-0001_Experiment_0042	fastq	1c6a09c7b4889fdffba0858aeb9efb66
Run	S0-PP54_R1.fastq	yanzeli-0001_Experiment_0043	fastq	062209c8c1b0c555df83d906238f3530
Run	S0-PP54_R2.fastq	yanzeli-0001_Experiment_0043	fastq	78370d87c2df0f4c4db4c9e4a20bc70e
Run	S0-PP55_R1.fastq	yanzeli-0001_Experiment_0044	fastq	7bd9101c6fc130480f750f456385b4df
Run	S0-PP55_R2.fastq	yanzeli-0001_Experiment_0044	fastq	4e17b74b9fd6222773c88968ac99839d
Run	S0-PP56_R1.fastq	yanzeli-0001_Experiment_0045	fastq	e9ad781d7b3302733f1a9abe633ba9d7
Run	S0-PP56_R2.fastq	yanzeli-0001_Experiment_0045	fastq	616340e2fbee8fe5757bd2bf28d58711
Run	S0-PP59_R1.fastq	yanzeli-0001_Experiment_0046	fastq	7e5e99f5d53a63b8487a4e26fd534088
Run	S0-PP59_R2.fastq	yanzeli-0001_Experiment_0046	fastq	0fa027c2f3e906e53290cea384e33757
Run	S0-PP5_R1.fastq	yanzeli-0001_Experiment_0004	fastq	326d8af52cbd5b532bf219170695eb39
Run	S0-PP5_R2.fastq	yanzeli-0001_Experiment_0004	fastq	34871c16d8de339fcf4cdd2f1dcb8948
Run	S0-PP60_R1.fastq	yanzeli-0001_Experiment_0047	fastq	aaf39a1a50455f59f4f4a37a8bae9a4f
Run	S0-PP60_R2.fastq	yanzeli-0001_Experiment_0047	fastq	461ec870f8c47165f822f4c4a89f4f82
Run	S0-PP61_R1.fastq	yanzeli-0001_Experiment_0048	fastq	8cd54b4d260185ea0f8a8d4a71e93cd2
Run	S0-PP61_R2.fastq	yanzeli-0001_Experiment_0048	fastq	71aca90ee9b73cb442a876e066ad2988
Run	S0-PP63_R1.fastq	yanzeli-0001_Experiment_0049	fastq	7a9539d7901fb6721e03a94ac0bde6fa
Run	S0-PP63_R2.fastq	yanzeli-0001_Experiment_0049	fastq	064d1296868b86e08dbad91a1c81cbb3
Run	S0-PP64_R1.fastq	yanzeli-0001_Experiment_0050	fastq	bac1abd9da2a3142d548b8b0e2753e97
Run	S0-PP64_R2.fastq	yanzeli-0001_Experiment_0050	fastq	405263534adfdd35713b3cf429fdd731
Run	S0-PP65_R1.fastq	yanzeli-0001_Experiment_0051	fastq	566b24fa9c395e56ef9674f8b4704f80
Run	S0-PP65_R2.fastq	yanzeli-0001_Experiment_0051	fastq	271da0d4dfcae3b2cf8f14a87117b1ae
Run	S0-PP66_R1.fastq	yanzeli-0001_Experiment_0052	fastq	a6819f87d0b04f0cd5c89c63721ef59a
Run	S0-PP66_R2.fastq	yanzeli-0001_Experiment_0052	fastq	9b6a571f0a00138df6f32157ead62cc8
Run	S0-PP68_R1.fastq	yanzeli-0001_Experiment_0053	fastq	ac007d37cc6ce93a5d182657e391921c
Run	S0-PP68_R2.fastq	yanzeli-0001_Experiment_0053	fastq	c5f08146b625b5f2ab50dd0e62a10edf
Run	S0-PP69_R1.fastq	yanzeli-0001_Experiment_0054	fastq	db246ffe33901830524e8723cc30964c
Run	S0-PP69_R2.fastq	yanzeli-0001_Experiment_0054	fastq	f7ac5e42e7075b29486bf36db052dda4
Run	S0-PP70_R1.fastq	yanzeli-0001_Experiment_0055	fastq	2353f29964860afbf97a15721393950c
Run	S0-PP70_R2.fastq	yanzeli-0001_Experiment_0055	fastq	82175f7bc27976316b171ef54a8003ad
Run	S0-PP71_R1.fastq	yanzeli-0001_Experiment_0056	fastq	dae268646dbbb81946c986605ad4622c
Run	S0-PP71_R2.fastq	yanzeli-0001_Experiment_0056	fastq	f37eae31c5b275d60f923b6ed35ea83d
Run	S0-PP72_R1.fastq	yanzeli-0001_Experiment_0057	fastq	7df9f71d086488e4a16e8f1ab6c38185
Run	S0-PP72_R2.fastq	yanzeli-0001_Experiment_0057	fastq	0dcc83e344430fb72bc7bba25736e878
Run	S0-PP73_R1.fastq	yanzeli-0001_Experiment_0058	fastq	bba2c9002ce7e71a2f9d66fef7690cfb
Run	S0-PP73_R2.fastq	yanzeli-0001_Experiment_0058	fastq	18ec7bafe12416227ffd3ec990931dbb
Run	S0-PP75_R1.fastq	yanzeli-0001_Experiment_0059	fastq	b8ada4e49dd83af90429054d2ae91920
Run	S0-PP75_R2.fastq	yanzeli-0001_Experiment_0059	fastq	b1106251786956e6ddaec11c5c092928
Run	S0-PP77_R1.fastq	yanzeli-0001_Experiment_0060	fastq	00b346a95475b66f30f22ed88ee61522
Run	S0-PP77_R2.fastq	yanzeli-0001_Experiment_0060	fastq	074ad2347af81b367cd788dd17a02534
Run	S0-PP81_R1.fastq	yanzeli-0001_Experiment_0061	fastq	2e84d3279daa06e05f55285eb59fd0fc
Run	S0-PP81_R2.fastq	yanzeli-0001_Experiment_0061	fastq	d9c42fd597e24e8c675f72db699bc746
Run	S0-PP82_R1.fastq	yanzeli-0001_Experiment_0062	fastq	d1dcf2e769a6287258e14dc7052e2a63
Run	S0-PP82_R2.fastq	yanzeli-0001_Experiment_0062	fastq	32ba588e5ddbfc3e8e50018f9ae185bb
Run	S0-PP8_R1.fastq	yanzeli-0001_Experiment_0005	fastq	a52cc9e674f6a3c5dfdea7d58b560041
Run	S0-PP8_R2.fastq	yanzeli-0001_Experiment_0005	fastq	e6970ddb968c1579735320101906816f
Run	S0-PP9_R1.fastq	yanzeli-0001_Experiment_0006	fastq	0fa4615a4716f530c11118c29c753f74
Run	S0-PP9_R2.fastq	yanzeli-0001_Experiment_0006	fastq	6bf38005863e72af6f89e01398424035
